date,exchange_rate_audusd_bid_open,exchange_rate_audusd_bid_low,exchange_rate_audusd_bid_high,exchange_rate_audusd_bid_close,exchange_rate_audusd_ask_open,exchange_rate_audusd_ask_low,exchange_rate_audusd_ask_high,exchange_rate_audusd_ask_close,exchange_rate_eurusd_bid_open,exchange_rate_eurusd_bid_low,exchange_rate_eurusd_bid_high,exchange_rate_eurusd_bid_close,exchange_rate_eurusd_ask_open,exchange_rate_eurusd_ask_low,exchange_rate_eurusd_ask_high,exchange_rate_eurusd_ask_close,exchange_rate_gbpusd_bid_open,exchange_rate_gbpusd_bid_low,exchange_rate_gbpusd_bid_high,exchange_rate_gbpusd_bid_close,exchange_rate_gbpusd_ask_open,exchange_rate_gbpusd_ask_low,exchange_rate_gbpusd_ask_high,exchange_rate_gbpusd_ask_close,exchange_rate_nzdusd_bid_open,exchange_rate_nzdusd_bid_low,exchange_rate_nzdusd_bid_high,exchange_rate_nzdusd_bid_close,exchange_rate_nzdusd_ask_open,exchange_rate_nzdusd_ask_low,exchange_rate_nzdusd_ask_high,exchange_rate_nzdusd_ask_close
2000-01-02 19:00:00,0.6565,0.6561,0.6615,0.6586,0.6568,0.6564,0.6618,0.6589,1.00741,1.00531,1.02861,1.02451,1.00759,1.00549,1.02879,1.02469,1.6148,1.6146,1.6397,1.6359,1.6151,1.6149,1.64,1.6362,0.5246,0.5211,0.5277,0.525,0.5249,0.5214,0.528,0.5253
2000-01-03 19:00:00,0.6586,0.6543,0.6595,0.6549,0.6589,0.6546,0.6598,0.6552,1.02451,1.02181,1.03421,1.03011,1.02469,1.02199,1.03439,1.03029,1.6359,1.6317,1.6413,1.6373,1.6362,1.632,1.6416,1.6376,0.525,0.5193,0.5268,0.5194,0.5253,0.5196,0.5271,0.5197
2000-01-04 19:00:00,0.6549,0.6537,0.6598,0.6576,0.6552,0.654,0.6601,0.6579,1.03011,1.02861,1.04041,1.03261,1.03029,1.02879,1.04059,1.03279,1.6373,1.6352,1.6452,1.6419,1.6376,1.6355,1.6455,1.6422,0.5194,0.5174,0.521,0.52,0.5197,0.5177,0.5213,0.5203
2000-01-05 19:00:00,0.6576,0.6524,0.659,0.6536,0.6579,0.6527,0.6593,0.6539,1.03261,1.02811,1.04151,1.03301,1.03279,1.02829,1.04169,1.03319,1.6419,1.6412,1.651,1.6478,1.6422,1.6415,1.6513,1.6481,0.52,0.5135,0.5206,0.5149,0.5203,0.5138,0.5209,0.5152
2000-01-06 19:00:00,0.6536,0.6525,0.656,0.6549,0.6539,0.6528,0.6563,0.6552,1.03301,1.02561,1.03351,1.02881,1.03319,1.02579,1.03369,1.02899,1.6478,1.6361,1.6499,1.6389,1.6481,1.6364,1.6502,1.6392,0.5149,0.5133,0.5186,0.5164,0.5152,0.5136,0.5189,0.5167
2000-01-09 19:00:00,0.6549,0.6542,0.657,0.6564,0.6552,0.6545,0.6573,0.6567,1.02881,1.02141,1.03031,1.02531,1.02899,1.02159,1.03049,1.02549,1.6389,1.6336,1.6401,1.6369,1.6392,1.6339,1.6404,1.6372,0.5164,0.5144,0.5178,0.5158,0.5167,0.5147,0.5181,0.5161
2000-01-10 19:00:00,0.6564,0.6533,0.6587,0.6578,0.6567,0.6536,0.659,0.6581,1.02531,1.02481,1.03411,1.03381,1.02549,1.02499,1.03429,1.03399,1.6369,1.635,1.6492,1.6468,1.6372,1.6353,1.6495,1.6471,0.5158,0.5156,0.5182,0.5177,0.5161,0.5159,0.5185,0.518
2000-01-11 19:00:00,0.6578,0.6574,0.6593,0.6591,0.6581,0.6577,0.6596,0.6594,1.03381,1.02621,1.03701,1.03101,1.03399,1.02639,1.03719,1.03119,1.6468,1.6455,1.6509,1.6472,1.6471,1.6458,1.6512,1.6475,0.5177,0.5171,0.5197,0.5196,0.518,0.5174,0.52,0.5199
2000-01-12 19:00:00,0.6591,0.6584,0.6688,0.6681,0.6594,0.6587,0.6691,0.6684,1.03101,1.02361,1.03161,1.02611,1.03119,1.02379,1.03179,1.02629,1.6472,1.6412,1.65,1.6469,1.6475,1.6415,1.6503,1.6472,0.5196,0.5189,0.5244,0.5235,0.5199,0.5192,0.5247,0.5238
2000-01-13 19:00:00,0.6681,0.6653,0.6681,0.6655,0.6684,0.6656,0.6684,0.6658,1.02611,1.01141,1.02751,1.01301,1.02629,1.01159,1.02769,1.01319,1.6469,1.6314,1.648,1.6346,1.6472,1.6317,1.6483,1.6349,0.5235,0.5204,0.524,0.5208,0.5238,0.5207,0.5243,0.5211
